Atom,Ox,Z,#e,E_IQA_Intra(A)_a,T(A)_a,"Vne(A,A)_a","Vee(A,A)_a","VeeC(A,A)_a","VeeX(A,A)_a",E_IQA_Intra(A)_b,T(A)_b,"Vne(A,A)_b","Vee(A,A)_b","VeeC(A,A)_b","VeeX(A,A)_b",E_IQA_Intra(A),T(A),"Vne(A,A)","Vee(A,A)","VeeC(A,A)","VeeX(A,A)",N_alpha(A),N_beta(A),N_total(A),N_spin(A),IE,"Vee_ab(A,A)","E_IQA_Intra(A)_a/Vee_ab(A,A)","E_IQA_Intra(A)_b/Vee_ab(A,A)","E_IQA_Intra(A)/Vee_ab(A,A)","1/Vee_ab(A,A)",E_IQA_Intra(A)_a+E_IQA_Intra(A)_b,IE_AE,Type,EA
He,0.0,2.0,2.0,-1.9656023787,1.4502925824,-3.3754337725,-0.04046118858,0.5121560189500001,-0.55261720753,-1.9656023787,1.4502925824,-3.3754337725,-0.04046118858,0.5121560189500001,-0.55261720753,-2.9068936988,2.9005840542000003,-6.7508674519000005,0.94338969898,2.0486241692,-1.1052344702,0.99999997065,0.99999997065,1.9999999413,0.0,0.9035699381999472,1.0243110586000004,-1.918950656831266,-1.918950656831266,-2.837901313662532,0.9762659414873172,-3.9312047574,0.9035699381999472,IE,
Li,0.0,3.0,3.0,-4.9639188286,3.8353284163,-9.1076708671,0.30842362213,1.2665308757,-0.9581072535299998,-4.4413259592,3.59737204,-8.0386979979,-1.2666616764e-09,0.82316673634,-0.8231667376,-7.4326763212,7.4327081063,-17.146369338,2.2809849105,4.0622589846,-1.7812740741,1.9999282353,1.000000001,2.9999282363,0.99992823432,0.19814188418086556,1.9725684666000007,-2.5164747955015274,-2.2515446406051747,-3.768019436106703,0.5069532525396396,-9.4052447878,0.19814188418086556,IE,
Li,1.0,3.0,2.0,-4.444029734,3.6182905658,-8.0623202999,-1.2807073073e-16,0.82583769843,-0.82583769843,-4.444029734,3.6182905658,-8.0623202999,-1.2807073073e-16,0.82583769843,-0.82583769843,-7.2363834791,7.2365813904,-16.124640299,1.6516754294,3.3033508588,-1.6516754294,0.9999996694,0.9999996694,1.9999993388,0.0,2.779722472408561,1.6516759889,-2.690618356061276,-2.690618356061276,-4.381236712122552,0.60544562415416,-8.888059468,2.779722472408561,IE,
Be,0.0,4.0,4.0,-9.1292705078,7.3075206036,-16.846984621,0.4101935094600001,1.8022920597,-1.3920985503,-9.1292705078,7.3075206036,-16.846984621,0.4101935094600001,1.8022920597,-1.3920985503,-14.653950278,14.615048540999998,-33.693970156999995,4.424971337900001,7.2091687913,-2.7841974534,1.9999999016,1.9999999016,3.9999998033,0.0,0.34260289108038583,3.604590737599999,-2.5326787900138785,-2.5326787900138785,-4.065357580027757,0.27742400532988604,-18.2585410156,0.34260289108038583,IE,
Be,1.0,4.0,3.0,-9.157973416699999,7.5076525825,-17.178000669,0.51237467021,1.8843265824,-1.3719519122,-7.9402983209,6.7684996308,-14.70879795,-2.1016743796e-09,1.1347948840000002,-1.1347948861,-14.277234915,14.276149231,-31.886798458,3.3334143123000004,5.8401612382,-2.5067469259,2.0000000179,1.0000000066,3.0000000245,1.0000000113,0.6692474614806901,2.8210368226000018,-3.2463147390821985,-2.814673760118396,-5.0609884992005965,0.3544795984188368,-17.0982717376,0.6692474614806901,IE,
Be,2.0,4.0,2.0,-7.9438075233,6.8017386714,-14.745546195,1.8923731359000002e-15,1.1382528726,-1.1382528726,-7.9438075233,6.8017386714,-14.745546195,1.8923731359000002e-15,1.1382528726,-1.1382528726,-13.611152759000001,13.603482460999999,-29.491140980999997,2.2765057602,4.5530115203,-2.2765057602,1.0000000531,1.0000000531,2.0000001061000003,0.0,5.655581582039679,2.2764622876,-3.489540576433137,-3.489540576433137,-5.979081152866275,0.43927808751634,-15.8876150466,5.655581582039679,IE,
B,0.0,5.0,5.0,-15.87059364,12.678356088,-30.005833438000003,1.4568837103,3.6076769624,-2.1507932521,-14.487415399000001,11.914380782,-26.944474704,0.54267852295,2.3288099191,-1.7861313962,-24.654055144,24.592736631999998,-56.950308206,7.7035164302,11.640441859000001,-3.9369254284,3.0000000669,2.0000000604,5.0000001274,1.0000000065,0.3049465932172617,5.7039538950000015,-2.7823846286541545,-2.5398899895911584,-4.322274618245314,0.17531698509635302,-30.358009039000002,0.3049465932172617,IE,
B,1.0,5.0,4.0,-14.590432851,12.145890939000001,-27.328018428000004,0.59169463697,2.4164850626,-1.8247904256,-14.590432851,12.145890939000001,-27.328018428000004,0.59169463697,2.4164850626,-1.8247904256,-24.347894927,24.291782706,-54.656037121000004,6.016359488099999,9.6659405266,-3.6495810385,2.0000000751,2.0000000751,4.0000001501,0.0,0.9244230112583944,4.832970775,-3.0189367017225552,-3.0189367017225552,-5.0378734034451105,0.2069120726267996,-29.180865702,0.9244230112583944,IE,
B,2.0,5.0,3.0,-14.598787740999999,12.445180267000001,-27.751843518,0.70787550957,2.4921684926,-1.784292983,-12.438795490999999,10.930593507000001,-23.369388996999998,-1.3166336741e-09,1.4460945554,-1.4460945567,-23.375329631,23.375776703000003,-51.121234058999995,4.3701277251,7.6005153034,-3.2303875783,2.0000025956,1.0000000694,3.000002665,1.0000025262,1.3939235616622154,3.662253600999996,-3.9862853126866282,-3.3964866571783903,-6.3827719698650185,0.2730559128201677,-27.037583232,1.3939235616622154,IE,
B,3.0,5.0,2.0,-12.44366447,10.988771575,-23.432436044,1.0348699247999999e-17,1.4508395145,-1.4508395145,-12.44366447,10.988771575,-23.432436044,1.0348699247999999e-17,1.4508395145,-1.4508395145,-21.985648705,21.97754108,-46.86486882,2.9016790352,5.8033580703,-2.9016790352,0.99999979069,0.99999979069,1.9999995814,0.0,9.53172742827547,2.9016802350000006,-4.288434101009754,-4.288434101009754,-7.576868202019508,0.3446279117657497,-24.88732894,9.53172742827547,IE,
