Z	|	Atom	|	In.Charge	|	Atomic State	|	Neg. Ion State	|	EA(cm—1)a)	|	EA(eV)	|	Methodc)	|	Ref.
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	|	H	|	0	|	1s 2S1/2(F=0)	|	1s2 1S0	|	6083.064145(30)	|	0.754 203 75(3)	|	Calc.	|	Dr99
2	|	He	|	0	|	1s2 1S0	|	a	|	0	|	0	|	Calc.; SE	|	HL85
3	|	Li	|	0	|	2s 2S1/2	|	2s2 1S0	|	4984.90(17)	|	0.618 049(21)	|	LPT	|	HHK96
4	|	Be	|	0	|	2s2 1S0	|	a	|	0	|	0	|	Calc.; SE	|	HL85
5	|	B	|	0	|	2p 2P1/2	|	2p2 3P0	|	2256.12(20)	|	0.279 723(25)	|	LPT	|	SBH98b
6	|	C	|	0	|	2p2 3P0	|	2 p3 4S3/2	|	10 179.67(15)	|	1.262 118(20)	|	LPT	|	SBB98b
7	|	N	|	0	|	2p3 4S3/2	|	2 p4 3P	|	—560(160)	|	—0.07(2)	|	Diss. Att.	|	MGH78
8	|	O	|	0	|	2p4 3P2	|	2p5 2P3/2	|	11 784.664(22)	|	1.461 112 0(27)	|	LPT/LPM	|	NLA85,Bl95/,VBD99,Bl99
9	|	F	|	0	|	2p5 2P3/2	|	2p6 1S0	|	27 432.440(25)	|	3.401 188 7(32)	|	LPT	|	BCD89
10	|	Ne	|	0	|	2p6 1S0	|	a	|	0	|	0	|	Calc.; SE	|	HL85
11	|	Na	|	0	|	3s 2S1/2	|	3s2 1S0	|	4419.32(20)	|	0.547 926(25)	|	LPT	|	HL85
12	|	Mg	|	0	|	3s2 1S0	|	a	|	0	|	0	|	Calc.;e— scatt.	|	HL85
13	|	Al	|	0	|	3p 2P1/2	|	3 p2 3P0	|	3491.0(4)	|	0.432 83(5)	|	LPT	|	SBT98
14	|	Si	|	0	|	3p2 3P0	|	3 p3 4S3/2	|	11 207.24(15)	|	1.389 521(20)	|	LPT	|	SBB98b
15	|	P	|	0	|	3p3 4S3/2	|	3 p4 3P2	|	6021(3)	|	0.7465(3)	|	LPT	|	Fe76/SL77
16	|	S	|	0	|	3p4 3P2	|	3 p5 2P3/2	|	16 752.966(8)	|	2.077 102 9(10)	|	LPT	|	LS85/HL85
17	|	Cl	|	0	|	3p5 2P3/2	|	3 p6 1S0	|	29 138.59(22)	|	3.612 724(27)	|	LPT	|	BGH95
18	|	Ar	|	0	|	3p6 1S0	|	a	|	0	|	0	|	Calc.; SE	|	HL85
19	|	K	|	0	|	4s 2S1/2	|	4s2 1S0	|	4044.54(10)	|	0.501 459(12)	|	LPT	|	ASK99
20	|	Ca	|	0	|	4s2 1S0	|	4s24p 2 P1/2	|	198.0(8)	|	0.02455(10)	|	LPT	|	PAB96
21	|	Sc	|	0	|	3d4s2 2D3/2	|	3d4s24p 1,3D	|	1520(160)	|	0.188(20)	|	LPES(O—)	|	FHL81
22	|	Ti	|	0	|	3d24s2 3F2	|	3d34s2 4F3/2	|	680(70)	|	0.084(9)	|	LPES(O—)/FD	|	FCB81/ISS87
23	|	V	|	0	|	3d34s 4F	|	3d44s2 5D0	|	4230(100)	|	0.525(12)	|	LPES(O—)	|	FCB81
24	|	Cr	|	0	|	3d54s 7S3	|	3d54s2 6S5/2	|	5451.0(10)	|	0.675 84(12)	|	LPT	|	BSH98
25	|	Mn	|	0	|	3d54s2 6S5/2	|	a	|	0	|	0	|	SE; calc.	|	HL85
26	|	Fe	|	0	|	3d64s2 5D4	|	3d74s2 4F9/2	|	1220(25)	|	0.151(3)	|	LPES(O—)	|	LL86
27	|	Co	|	0	|	3d74s2 4F9/2	|	3d84s2 3F4	|	5350(5)	|	0.6633(6)	|	LPT	|	SBB98a
28	|	Ni	|	0	|	3d84s2 3F4	|	3d94s2 2D5/2	|	9333.1(10)	|	1.15716(12)	|	LPT	|	SBB98a
29	|	Cu	|	0	|	3d104s 2S1/2	|	3d104s2 1S0	|	9967.2(3)	|	1.23578(4)	|	LPT	|	BSH98
