-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
At. num | Sp. Name      | Ion Charge | El. Name   | Isoel. Seq. | Ground Shells (a) | Ground Level | Ionized Level     |        Ionization Energy (eV)        |   Uncertainty (eV)   | References
--------|---------------|------------|------------|-------------|-------------------|--------------|-------------------|--------------------------------------|----------------------|---------------
      1 | H I           |          0 | Hydrogen   | H           | 1s                | 2S<1/2>      |                   |      (13.598434599702)               |     0.000000000012   |          HDEL
      2 | He I          |          0 | Helium     | He          | 1s2               | 1S0          | 1s 2S<1/2>        |       24.587389011                   |     0.000000025      |        L17714
      2 | He II         |         +1 | Helium     | H           | 1s                | 2S<1/2>      |                   |      (54.417765486)                  |     0.000000025      |      L7188c95
      3 | Li I          |          0 | Lithium    | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |        5.391714996                   |     0.000000022      |        L12261
      3 | Li II         |         +1 | Lithium    | He          | 1s2               | 1S0          | 1s 2S<1/2>        |      [75.6400970]                    |     0.0000012        |        L10054
      3 | Li III        |         +2 | Lithium    | H           | 1s                | 2S<1/2>      |                   |     (122.45435914)                   |     0.00000025       |      L3620c96
      4 | Be I          |          0 | Beryllium  | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |        9.322699                      |     0.000007         |         L5964
      4 | Be II         |         +1 | Beryllium  | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |       18.21115                       |     0.00004          |        L12158
      4 | Be III        |         +2 | Beryllium  | He          | 1s2               | 1S0          | 1s 2S<1/2>        |     [153.896205]                     |     0.000004         |        L10054
      4 | Be IV         |         +3 | Beryllium  | H           | 1s                | 2S<1/2>      |                   |     (217.7185861)                    |     0.0000010        |      L3620c97
      5 | B I           |          0 | Boron      | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |        8.298019                      |     0.000003         |        L12312
      5 | B II          |         +1 | Boron      | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |       25.15483                       |     0.00005          |        L12120
      5 | B III         |         +2 | Boron      | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |       37.93059                       |     0.00007          |        L12547
      5 | B IV          |         +3 | Boron      | He          | 1s2               | 1S0          | 1s 2S<1/2>        |      259.3715                        |     0.0025           |        L12548
      5 | B V           |         +4 | Boron      | H           | 1s                | 2S<1/2>      |                   |     (340.2260229)                    |     0.0000025        |        L12548
      6 | C I           |          0 | Carbon     | C           | 1s2.2s2.2p2       | 3P0          | 2s2.2p 2P*<1/2>   |       11.2602880                     |     0.0000011        |        L20057
      6 | C II          |         +1 | Carbon     | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |       24.383154                      |     0.000016         |          c190
      6 | C III         |         +2 | Carbon     | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |       47.88778                       |     0.00025          |      L876c191
      6 | C IV          |         +3 | Carbon     | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |       64.49352                       |     0.00019          |        L11667
      6 | C V           |         +4 | Carbon     | He          | 1s2               | 1S0          | 1s 2S<1/2>        |     [392.090518]                     |     0.000025         |        L10054
      6 | C VI          |         +5 | Carbon     | H           | 1s                | 2S<1/2>      |                   |     (489.993198)                     |     0.000006         |         L7188
      7 | N I           |          0 | Nitrogen   | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |       14.53413                       |     0.00004          |         L1411
      7 | N II          |         +1 | Nitrogen   | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |      [29.60125]                      |     0.00009          |        L11770
      7 | N III         |         +2 | Nitrogen   | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |      [47.4453]                       |     0.0025           |        L11770
      7 | N IV          |         +3 | Nitrogen   | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |       77.4735                        |     0.0004           |    L7288,L876
      7 | N V           |         +4 | Nitrogen   | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |       97.8901                        |     0.0004           |         L4829
      7 | N VI          |         +5 | Nitrogen   | He          | 1s2               | 1S0          | 1s 2S<1/2>        |     [552.06733]                      |     0.00004          |        L10054
      7 | N VII         |         +6 | Nitrogen   | H           | 1s                | 2S<1/2>      |                   |     (667.046121)                     |     0.000012         |         L7188
      8 | O I           |          0 | Oxygen     | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |       13.618055                      |     0.000007         |     L74,L3760
      8 | O II          |         +1 | Oxygen     | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |       35.12112                       |     0.00006          | L11267,L10621
      8 | O III         |         +2 | Oxygen     | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |      [54.93554]                      |     0.00012          |        L11770
      8 | O IV          |         +3 | Oxygen     | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |       77.41350                       |     0.00025          |          L648
      8 | O V           |         +4 | Oxygen     | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |      113.8990                        |     0.0005           |         L7288
      8 | O VI          |         +5 | Oxygen     | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |     [138.1189]                       |     0.0021           |         L4713
      8 | O VII         |         +6 | Oxygen     | He          | 1s2               | 1S0          | 1s 2S<1/2>        |     [739.32683]                      |     0.00006          |        L10054
      8 | O VIII        |         +7 | Oxygen     | H           | 1s                | 2S<1/2>      |                   |     (871.409883)                     |     0.000025         |         L7188
      9 | F I           |          0 | Fluorine   | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |       17.42282                       |     0.00005          |    L7481,L526
      9 | F II          |         +1 | Fluorine   | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |       34.97081                       |     0.00012          |          L369
      9 | F III         |         +2 | Fluorine   | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |      [62.70798]                      |     0.00025          |        L11770
      9 | F IV          |         +3 | Fluorine   | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |      [87.175]                        |     0.017            |        L11770
      9 | F V           |         +4 | Fluorine   | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |     [114.249]                        |     0.006            |        L11770
      9 | F VI          |         +5 | Fluorine   | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |      157.16311                       |     0.00025          |         L6491
      9 | F VII         |         +6 | Fluorine   | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |     [185.1868]                       |     0.0006           |         L6335
      9 | F VIII        |         +7 | Fluorine   | He          | 1s2               | 1S0          | 1s 2S<1/2>        |     [953.89805]                      |     0.00010          |        L10054
      9 | F IX          |         +8 | Fluorine   | H           | 1s                | 2S<1/2>      |                   |    (1103.11748)                      |     0.00005          |         L7188
     10 | Ne I          |          0 | Neon       | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |       21.564541                      |     0.000007         |   L8826,L1407
     10 | Ne II         |         +1 | Neon       | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |       40.96297                       |     0.00004          |         L1406
     10 | Ne III        |         +2 | Neon       | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |       63.4233                        |     0.0003           |         L9091
     10 | Ne IV         |         +3 | Neon       | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2s2.2p2 3P<0>     |      [97.1900]                       |     0.0025           |        L11782
     10 | Ne V          |         +4 | Neon       | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |      126.247                         |     0.012            |        L11744
     10 | Ne VI         |         +5 | Neon       | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |      157.934                         |     0.005            |         L9340
     10 | Ne VII        |         +6 | Neon       | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |      207.271                         |     0.012            |         L9089
     10 | Ne VIII       |         +7 | Neon       | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |     [239.0970]                       |     0.0019           |         L9090
     10 | Ne IX         |         +8 | Neon       | He          | 1s2               | 1S0          | 1s 2S<1/2>        |    [1195.80784]                      |     0.00015          |        L10054
